fecha,tipo,precio,monto,asset,fiat,metodos_pago
2026-08-18T20:47:48.114803,SELL,912.49900000,1896.68000000,USDT,VES,Banesco
2026-08-18T20:47:47.799681,BUY,915.00000000,3000.00000000,USDT,VES,Banco de Venezuela
2026-08-18T20:17:09.014314,SELL,910.00000000,325.18000000,USDT,VES,"Mercantil, Banco de Venezuela"
2026-08-18T20:17:08.684576,BUY,914.50000000,220000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-18T19:47:09.116678,SELL,910.99900000,1896.68000000,USDT,VES,Bancamiga
2026-08-18T19:47:08.774391,BUY,914.50000000,220000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-18T19:17:08.981597,SELL,908.00000000,1396.50000000,USDT,VES,Banesco
2026-08-18T19:17:08.662258,BUY,913.00000000,87723.15000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-18T18:47:08.965758,SELL,911.00000000,1899.47000000,USDT,VES,Banesco
2026-08-18T18:47:08.658653,BUY,912.00000000,200000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-18T18:17:08.921340,SELL,905.00000000,285.95000000,USDT,VES,"BFC Banco Fondo Común, BBVA"
2026-08-18T18:17:08.614396,BUY,912.50100000,9999.03000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-18T17:47:09.032434,SELL,907.00000000,1.70000000,USDT,VES,"Bank Transfer, Banesco, Banco de Venezuela"
2026-08-18T17:47:08.718835,BUY,911.00000000,92114.12000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-18T17:17:17.492796,SELL,903.00000000,99.75000000,USDT,VES,Mercantil
2026-08-18T17:17:17.154131,BUY,909.50000000,80000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-17T14:02:17.844664,SELL,879.00000000,199.50000000,USDT,VES,Banco de Venezuela
2026-08-17T14:02:16.844777,BUY,886.00100000,50000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-17T13:37:25.668710,SELL,875.00000000,4488.77000000,USDT,VES,Banesco
2026-08-17T13:37:25.340828,BUY,881.00100000,80000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-17T13:02:17.196936,SELL,874.90000000,0.75000000,USDT,VES,Bank Transfer
2026-08-17T13:02:16.848104,BUY,881.50100000,42000.00000000,USDT,VES,Bancamiga
2026-08-17T12:05:04.617330,SELL,874.90000000,0.75000000,USDT,VES,Bank Transfer
2026-08-17T12:05:04.283972,BUY,887.95000000,116.46000000,USDT,VES,Mercantil
2026-08-17T11:30:28.766824,SELL,874.00000000,0.83000000,USDT,VES,"Banesco, Pago Movil, Banco de Venezuela, Bank Transfer"
2026-08-17T11:30:28.457715,BUY,878.00000000,13500.00000000,USDT,VES,BNC Banco Nacional de Crédito
2026-08-17T11:26:10.562214,SELL,872.00000000,0.38000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-17T11:26:10.260933,BUY,878.00000000,4705.76000000,USDT,VES,Banco de Venezuela
2026-08-17T10:00:06.043111,SELL,866.00000000,0.43000000,USDT,VES,"Pago Movil, Bank Transfer"
2026-08-17T10:00:05.680563,BUY,868.00000000,18443.00000000,USDT,VES,Bank Transfer
2026-08-17T00:00:14.605543,SELL,871.00000000,798.00000000,USDT,VES,Banco Digital de los Trabajadores
2026-08-17T00:00:14.295260,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T23:30:14.574957,SELL,871.00000000,0.85000000,USDT,VES,Banco de Venezuela
2026-08-16T23:30:14.267416,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T23:00:14.519010,SELL,869.35000000,1185.42000000,USDT,VES,Banco de Venezuela
2026-08-16T23:00:14.200301,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T22:30:14.466503,SELL,870.00000000,1724.38000000,USDT,VES,Banco Digital de los Trabajadores
2026-08-16T22:30:14.142565,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T22:00:14.539543,SELL,870.00000000,1594.26000000,USDT,VES,Banco Digital de los Trabajadores
2026-08-16T22:00:14.225774,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T21:30:14.546833,SELL,775.00000000,399.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela"
2026-08-16T21:30:14.220203,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T21:00:14.465546,SELL,870.00000000,1496.25000000,USDT,VES,Banco Digital de los Trabajadores
2026-08-16T21:00:14.154011,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T20:30:14.529649,SELL,869.00000000,1.72000000,USDT,VES,Banco de Venezuela
2026-08-16T20:30:14.193336,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T20:00:14.475233,SELL,870.00000000,211.73000000,USDT,VES,Bank Transfer
2026-08-16T20:00:14.142356,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T19:30:14.538390,SELL,869.81000000,617.47000000,USDT,VES,Banesco
2026-08-16T19:30:14.204529,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T19:00:14.402371,SELL,870.00000000,0.52000000,USDT,VES,Pago Movil
2026-08-16T19:00:14.111004,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T18:30:14.445881,SELL,870.00000000,11.32000000,USDT,VES,"Bank Transfer, Banco de Venezuela"
2026-08-16T18:30:14.132245,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T18:00:14.471827,SELL,869.99900000,83.94000000,USDT,VES,"Banesco, Pago Movil"
2026-08-16T18:00:14.120878,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T17:30:14.509548,SELL,860.00000000,99.75000000,USDT,VES,Pago Movil
2026-08-16T17:30:14.196810,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T17:00:14.362465,SELL,869.00000000,199.50000000,USDT,VES,Banesco
2026-08-16T17:00:14.073952,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T16:30:14.426769,SELL,870.00000000,39101.71000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-16T16:30:14.100699,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T16:00:14.413590,SELL,870.00000000,3.77000000,USDT,VES,BNC Banco Nacional de Crédito
2026-08-16T16:00:14.095820,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T15:30:14.552050,SELL,871.00000000,96.19000000,USDT,VES,Mercantil
2026-08-16T15:30:14.216253,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T15:00:14.367854,SELL,872.00000000,5000.24000000,USDT,VES,"Bank Transfer, Banco de Venezuela"
2026-08-16T15:00:14.079051,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T14:30:14.373968,SELL,870.00000000,259.35000000,USDT,VES,Mercantil
2026-08-16T14:30:14.055945,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T14:00:14.441147,SELL,872.00000000,99.80000000,USDT,VES,"Mercantil, Pago Movil"
2026-08-16T14:00:14.149465,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T13:30:14.388662,SELL,871.00000000,998.25000000,USDT,VES,Mercantil
2026-08-16T13:30:14.074898,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T13:00:14.425668,SELL,872.00000000,26.52000000,USDT,VES,Banco de Venezuela
2026-08-16T13:00:14.123411,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T12:30:14.337592,SELL,872.00000000,99.75000000,USDT,VES,Mercantil
2026-08-16T12:30:14.034753,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T12:00:14.436138,SELL,871.00000000,99.80000000,USDT,VES,"Pago Movil, BNC Banco Nacional de Crédito, Banesco"
2026-08-16T12:00:14.136745,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T11:30:14.516926,SELL,872.00000000,200.49000000,USDT,VES,Bank Transfer
2026-08-16T11:30:14.068253,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T11:00:14.328430,SELL,871.00000000,99.75000000,USDT,VES,"Mercantil, Pago Movil"
